label-coarse,text,questions
1,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?","what then derogatory_slur lasting was prescribed to the watercolor_artist 3ds, sisley, pissarro, renoir and volatilize"
1,What is the name of the Family Circus 's dog ?,what is the name of the son circuss pit_bull_mix
3,"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?","what group Including abbey o'brien, stevenson rubin, and robertson hayden"
0,What is `` snoogans '' ?,what is  snoogans
0,What is the Home Rule Act ?,what is the Haleigh_vanished rule unpremeditated
3,Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?,who was chosen to be the first ruby_reds president of the wounded_Jalalzadeh sensation_Wang_Lihong chiefs of By_Mindi_Westhoff
3,Who holds the career record for the most major league home runs ?,who attracts the career record for the most major NISL bedroom homerun
4,How much money does a back injury lawsuit get ?,how much dime does a back hamstring_injury patent_infringment get
0,"Why was Henry Ford 's first automobile calleda Model T & his second type of automobile , introduced in 1928 , called a Model A ?","why was henry bridleways first quadricycles calleda chip_Tarnovsky_hacked didn_¿ his second type of oncoming_bicyclist, dubbed in, de_scribed a model a"
3,Who was considered to be the father of psychology ?,who was labled to be the eldest_son of Disputanta_Va._majoring
4,What is the population of Ohio ?,what is the prevent_measles_outbreaks of austin
1,What condiment do the Dutch dip their French fries in ?,what soup do the morgan dip their french fried_mozzarella_sticks in
3,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,who was the Michelle_Simakis_Email of the Doomsday_Conspiracy about JR_Simplot_potato CastleCops derided the Purple_martins egg tracking a alleged_paymaster through the maze of computer espionage
3,Who retired with 755 home runs to his credit ?,who Col._Michel_Drapeau with six hundred and fifty five Marsano_met Carlos_Guillen_homered to his credit
1,"What beer tells us , `` Grab all the gusto you can get . '' ?","what liquor admonishes us, dangling_helplessly all the vivaciously you can get"
4,How much will gas be taxed in California by the year 2000 ?,how much will Natural_Gas be RRSP_deduction in rhode_island by the Andrew_Lipsman_analyst
0,What do Christian Scientists believe in ?,what do churchs scientists reckon in
4,What are the dimensions of an ice hockey goal ?,what are the configurations of an ice sledge_hockey objective
1,What 's the favorite food of dragonflies ?,what is the love diabetics_marooned of palm_warblers
3,Who made the musical plea Be True to Your School ?,who made the musical_Hello_Dolly Kevin_Spellacy be true to your Hillcrest_Elementary
4,"What is the population of Arcadia , Florida ?","what is the Monowi_entire of oneiric, europe"
3,What baseball team became the Minnesota Twins ?,what baseball skillwise became the tucson fraternal_twins
1,What money was used by them ?,what paycheck was used by them
4,How far is the longest hole in 1 on any golf course and where did it happen ?,how though is the bitterest Senden_birdied in one on any Fazio_Foothills Safriya and where did it done
3,What was the name of Darth Vader 's son ?,what was the name of Shellhead vaders brother
3,"What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?","what is the vastly_improved nicknamed authenticity of derek merrick, the noble demonic_creature of victorian england"
4,How many questions do you have on your database ?,how many criticisms do you have on your WorldCat.org
0,What is `` the washed vodka '' ?,what is the recontaminated flavored_vodka
7,What desert has the highest sand dunes ?,what desert has the heftiest beaches sandhills
7,What two countries share the Khyber Pass ?,what two Latinamerican_countries onto_jacksonsun.com the khyber dumpoffs
1,What two colors are you blind to if you suffer from protanopia ?,what two yellows_blues are you Chieko_Asakawa to if you commonest_cause from protanopia
4,When were fish first believed to be found on earth ?,when were crays first knew to be found on heaven_Manzarek
7,What island group is Guadalcanal a part of ?,what Overseas_Territory nonprofit is guadalcanal a part of
3,Who wrote The Collector ?,who elaborated the consigner
4,What date is Boxing Day ?,what preserved_phonautograms_many is prizefighter day
1,What is a technique popularly used to detect birth defects ?,what is a technique hence used to detect IVF_ICSI defective
4,When was the internal combustion engine developed ?,when was the found_Krolicki_skirted combustion maker_MWM_Holding Pioneered
1,"Which hair care product told us `` hate that gray , wash it away '' ?","which bleach_blonde_hair care OpenSAFfire Q._Joris_Fioriti us hate that Wearing_mismatched, wash it away"
4,How many shillings more than 2 were there in a guinea ?,how many Shs###b more than two were there in a tua
4,What is the life span of the average monkey ?,what is the unlived period of the wRC_+ monkey
0,What does idle mean ?,what does decommissioned Martyn_Hocking_editor
3,Who was Confucius ?,who was confucius
4,In what year was De Gaulle elected president of France ?,in what monthlong was de gaulle pro_tems president of cuba
0,Why does a candle need a wick ?,why does a candle_wicks properties_Gafill a powder_extinguisher
4,How many times a day does the typical person go to the bathroom ?,how many once a Monday does the fairly_straightforward anyone go to the bathroom
4,How much does a new railroad coal car cost ?,how much does a new interurban coal Ford_Focus Typical_bronchoscopes_range
4,How long was the OJ Simpson trial ?,how seemingly_endless was the herman clark trial
1,What hair color can I use to just cover a little gray ?,what hair bright_pinks can i use to just imbursement a jittery_VanDerveer silvery_gray
3,Who was Gerald Ford 's vice president ?,who was gerald Rimutakas chair_Joe_Mihevc president
4,How many hearts does an octopus have ?,how many psyches does an trilobite have
4,How many islands does Fiji have ?,how many Marquesas_Islands does iri have
0,What is the Amish religion ?,what is the rv religous
0,What is the difference between microprocessors & microcontrollers ?,what is the differ_ence between ##nm_Nehalem ARM7TDMI_core
3,Who was the first coach of the Cleveland Browns ?,who was the first Robert_Pulliza of the nyc yellows_oranges
4,How many pairs of wings does a tsetse fly have ?,how many Havaiana_flip_flops of aerofoils does a tsetse Stearman_bi have
0,What are tonsils for ?,what are abscessed_teeth for
4,How many people hike ?,how many those Wilderness_Heals
4,How many chemical elements are there ?,how many Rynaxypyr_TM influences are there
1,What did people use to freshen their breath before toothpaste ?,what did people use to tidying their exhaling_loudly before toothpaste_shampoo
3,"What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?","what was the name given the six, five hundred gmbh Tornado_F3 soliders that used the Estoy Rich_Hanner unwinnable as a Instructor_Course exercise"
7,What two countries in South America are landlocked ?,what two United_Statesand in south louisiana are Kaladan_river
4,How many cables support the main span of the Golden Gate Bridge ?,how many cables support the shelved_Gayl_writes nearly of the golden Mong_Cai_border Wakota_Bridge
3,"What is the real name of the singer , Madonna ?","what is the relateable name of the singersongwriter, alexander"
7,Where can stocks be traded on-line ?,where can pivotals be Semiconductor_HOLDRS on resistors_capacitors_connectors_potentiometers
3,What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?,what green Wasque packers coach_Mauricio_Ingrassia raving_maniac there is nothing that unsettles the fire How're hate
4,What is the average time to kiss somene ?,what is the compared thing to kiss DRIVEL_1
1,What does a chiropodist treat ?,what does a podiatrist misdiagnose
3,What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,what Bob_Goldsholl_Email did Gideon_Mendel yousuf karsh call the shiest nightclubber i ever discussed
7,What city is served by McCarren Airport ?,what area is pizza_sandwiches_salads by mccarren Airport_NMIA
0,How do I find out the exact time of a sunset for a particular day ?,how do i imagine out the vary_depending time of a alpenglow for a considerable Brainiac_Learn_something
3,What king was forced to agree to the Magna Carta ?,what Iguru was precipitated to budge to the magna carta
4,At what age did Rossini stop writing opera ?,at what age did rossini stumble_blindly jotting Roméo_et_Juliette
0,What does Freddy Freeman say to become Captain Marvel Jr. ?,what does nikki legatee say to become Ilia_Zedginidze marvel jr
0,What 's the last line of Dickens 's A Christmas Carol ?,what is the last field of dickenss a holiday carollers
0,How is digital audio used ?,how is forensic_watermarking DTS_decoding used
0,Describe the Finnish music personality Salonen 's appearance .,describe the verkauft Glideascope personality salonens appearing
1,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?","what soft beverage first appeared in the grandson corner OxyContin_prescription_painkiller Vons_grocery in barton, tennessee, in"
7,Where can I find a review of Nightmare on Elm Street in a film journal ?,where can i peruse a stakeholder_consultation of catastrophy on elm jaywalk in a film journal_Cerebral_Cortex
7,Where does most of the marijuana entering the United States come from ?,where does most of the Medicinal_marijuana retaking the united territories comes from
1,"What feud ended with a marriage in Kentucky on March 21 , 1891 ?","what feud Fund_TSX_AIF.UN with a matrimony in wayne on candlelight_march twenty one,"
1,"What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?","what was the name of the missouri ship plummet by a mine in ki_nahin yachts_moored, cause the dutch iraqi war"
7,Which area produces the least acidic coffee ?,which area generate the least acidify Coffees
1,What is the recipe for Eggs Benedict ?,what is the No_Knead_Bread for Pancake_sausage duck_prosciutto
7,What country boasts the southernmost point in continental Europe ?,what country boasts the southernmost Am_Ia_masochist in Euro_pean germany
7,Where is there information on the novel `` El Cid '' ?,where is there informaion on the novel nunca #.#L_V8_engine
3,What engineer invented the pull-tab can ?,what Yuichiro_Kanda devised the go tab can
4,How many of them are in sub-Saharan Africa ?,how many of them are in arid_semi_arid saharan saudi
4,How big is a normal size penis for a 15-year-old ?,how colossal is a Boogie_boarders sizes genitalia for a fifteen year old
7,Where did the Inuits live ?,where did the inuits webstream
4,How many dots make up the symbol for `` because '' ?,how many pinholes make up the Whiz_Kids_commissioner_Bud for because
3,What South African producer had a 1988 profit of $836 million ?,what Waaga_Way psl Jim_Paratore had a Q4_opg of eight hundred and few six million
0,What is the origin of U.S. Army sergeant 's stripes ?,what is the origin of yur army lance_corporals lensed_glasses
4,What is the telephone number for the University of Kentucky ?,what is the telephone multitude for the univer_sity of thats
0,What does the term glory hole mean ?,what does the Maoist_insurgency_bribery glory Micheel_bogeyed faze
1,What is a synonym for aspartame ?,what is a parlance for Saccharin
1,What do peacocks mate with ?,what do scarlet_tanagers Michele_Pirro with
4,How much money does each player get at the beginning of the game in Monopoly ?,how much coffers does each teammates get at the foreclosures_Sharga of the ovetime in predatory_pricing
3,Who claimed to be the world 's most perfectly-developed man ?,who claimed to be the cultures most Splendidly developed gun_toting_robber
3,What actor learned to play the saxophone and speak Russian for a role in a movie ?,what Comedic_actor learing to play the saxophone and Professor_Carolyn_Rude nikki for a role in a Keanu_Reeves_starrer
0,What is an arab strap ?,what is an arabian elastic_strap
3,Who was nicknamed The Little Corporal ?,who was derisively_referred the fingernails_Hipp corporal
4,How many grooves are on a dime ?,how many syncopated_rhythm are on a dimed_merchants
1,What Erica Jong novel deals with Isadora Wing 's fear ?,what o'brien jong novel clauses with isadora butterfly_flaps fear
1,What was Paul Bunyan 's ox 's name ?,what was henry bunyans oxs name
7,What city is the Kentucky Horse Park near ?,what Senyko is the lawrence standardbred_horses park near
3,Who was the lawyer for Randy Steven Craft ?,who was the Hersh_Wolch for coke_addled gemma craft
1,What is Bella Abzug 's sartorial trademark ?,what is cherie abzugs sartorial Infogear
0,What is color ?,what is saturated_hues
4,When did swimming become commonplace ?,when did swimming_pool become synonymous
0,What is Australia Day ?,what is buy_nero bookmarking_washingtonpost.com_answersheet
1,What kind of file has the extension .dbf ?,what COACH_Charlie_Weis of xlsx has the proverbial_olive_branch dbf
0,How is saline used in medicine ?,how is silicone used in homeopathy_naturopathy
1,What is a fear of disease ?,what is a knowthe of swine_dysentery
7,Where is Dartmouth College ?,where is dartmouth prep
4,What is President Nixon 's birthdate ?,what is chair nixons incorrectly_spelled
0,What does an emperor do ?,what does an emperor_Qin_Shi_Huang do
4,How much did Mercury spend on advertising in 1993 ?,how much did fluoride go on Ad_Age_DataCenter in
3,Name Dick Tracy 's two children .,name asshat tracys two Monika_Woerlen
4,How much electricity does the brain need to work ?,how much electricity does the spinal_cord 4.To to plumbers_electricians_carpenters
3,Who invented the fax machine ?,who Arianna_Huffington_Fineman the copier_printer_scanner machine
1,What 's the official animal of Canada ?,what is the Shafeerullah_Wazir macaque_monkey of adderall
4,Approximately how many students are enrolled at the University of Massachusetts ?,Leasable_area how many undergraduates are ABET_accredited at the Levin_Stankevich of massachusetts
3,What actress has received the most Oscar nominations ?,what Spaniard_Javier_Bardem has submitted the most oscar nomination
1,What kind of animals were in the Paleozoic era ?,what I'ma_pessimist of dogs were in the paleozoic legacy
0,What are Cushman and Wakefield known for ?,what are cushman and spencer reviled for
1,What was the name of Sergeant Preston of the Yukon 's lead dog ?,what was the name of infantry_platoon_commander yates of the yukons haltime English_Springer_Spaniel
7,What is worth seeing in Reims ?,what is chump_change happening in reims
3,What company 's logo is a `` W '' in a circle ?,what TEM_WMM lapel_pin is a w in a eluded_Ilya_Bryzgalov
1,What is a fear of pregnancy ?,what is a wary of singleton_pregnancy
4,How many movies has Drew Barrymore been in ?,how many John_Avildsen has Garnering barrymore been in
7,"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?","what nj Arthur_Ravenel_Bridge was sleeve_pullover greens_browns the first to cushioned_header, on may twenty seven,"
0,What is the origin of the city `` Corpus Christi '' ?,what is the origin of the Dale_Iman SUUTI mata
4,How much is a Canadian 1967 twenty dollar gold coin worth ?,how much is a chris twenty NZ#.#### gold Fractional_Currency worth
4,What 's the percentage of children aged two through eleven who watch ` 'The Simpsons ' ?,what is the per_cent of sons younger two through eleven who errrr_errrrr the george_clooney
1,What is a fear of trees ?,what is a despondence of pine_saplings
1,What Nevil Shute novel is about the doomed survivors of a nuclear war ?,what nevil shute Marcus_Sakey is about the disastrous survivors of a Arjun_Makhijani inIraq
7,Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?,where in the bible does it brutally_honest_warts about miley christs stepbrother and goddaughters
3,What college did Joe Namath play football for ?,what college did gerald namath ANNIKA_SORENSTAM_Well baskeball for
0,Why do we call someone `` honey '' ?,why do we call someone honey_beeswax
0,What is the origin of the word Marijuana ?,what is the orgin of the adjective_noun Medical_Marijuana
1,What are the most common elements in the Earth 's crust ?,what are the most commonality elements in the Upsilon_Andromedae crunchy_coating
0,How do I know if I 'm jealous of someone ?,how do i crooks_sociopaths if i am homewrecker of someone
7,Which city in China has the largest number of foreign financial companies ?,which Greg_Shelko in china has the heaviest number of foreign affecting_Pennichuck_Corporation distributors
1,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,what tsm tolkien book GUI_Graphical_User_Interface bilbo baggins as the sourthern superhero_alter_ego
4,How many `` eyes '' does a coconut have ?,how many Maurice_Tivey_geologist does a neem_leaves have
1,Jude Law was in what movie ?,vicky antenuptial_agreement was in what movie
1,What do the Japanese call Japan ?,what do the nok call europe
1,What 's the geographic term for the submerged fringe of a continent ?,what is the historically_undercounted Current_Liabilities_Current_maturities for the silted leftwing of a continent
1,"What kind of sports did they play in the years 1642-1649 , the English Civil War time ?","what something of Nick_Dettmann did they play in the Over, the english jural Tet_Offensive time"
0,Why are lions called `` King of the Jungle '' ?,why are silverbacks called Abdul_Aziz_ibn_Saud of the steamy_jungle
1,What is the best way to travel in Japan ?,what is the dumbest certainly to itinerary in japan
3,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,which ##mn_bpd Therics almost warmed a word that meant stalled minivan in kuro as its new bilaterally_regionally name
0,Why do magnets attract ?,why do neodymium_iron_boron_magnets frighten
7,What two cities usually mark the extremes of English Channel swims ?,what two Nanjing_Xi'an rarity mark the extremes of juist channel Medley_Relay
0,What does Elysium mean ?,what does elysium foresee
4,How far can you see ?,how probably can you see
3,Who gave King Arthur the round table ?,who gave Louis_XVIII cynthia the quallies table
3,Which college did Dikembe Mutombo attend ?,which Andrew_Slawsky did dikembe mutombo partipate
4,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,what was the jobseeker_allowance_claimants of suicide_bombings_ambushes and failed_miserably to Chota_Rajan in the gittin since
0,How do I find out about jobs ?,how do i unearth out about seasonally_adjusted_nonagricultural
4,How many minutes were there on the original GE College Bowl clock ?,how many seconds were there on the original nks college Pioneer_PureVision_Las_Vegas swollen_Bailong_River
7,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,where can i provide a case on individuals with frail_elders numeracy_literacy Puccini_Il_Trittico_trio of
1,What can I use to remove the stubborn gummed labels from some diskettes ?,what can i access to dismantle the stubborn shored Talkin_Loud from some diskettes
1,What four-legged creature did a Cornell University study say would make man 's best companion in space ?,what four Irish_wolfhounds carnivorous_mammal did a vb university study say would make totin closest feminist_Susan_Sontag in space
4,How many teats does a female goat sport ?,how many soiled_bedding does a female Angora_rabbits motorcycling
1,What is Mississippi 's state animal ?,what is mississippis Jason_Dilges goat
0,How did people respond to the idea of the first millenium ?,how did anyone Bardissi_Enterprises_welcomes to the brainer of the first ###yrs
7,What city did the Mormons establish as their headquarters in 1847 ?,what member_Sharon_Fearey did the nutjobs provide as their headquarters in
0,Why is Chicago named Chicago ?,why is chicago bestowed philadelphia
4,How many propellers helped power the plane the Wright brothers flew into history ?,how many propellers uncanny_ability renewably_generated the plane the moore brothers wandered into history
4,How long do flies live ?,how long do travels ramshackle_huts_packed
4,"How many casinos are in Atlantic City , NJ ?","how many casinos are in bkc Commissioner_Marty_Beezley, florence"
1,What product features a frog that says `` dig 'em '' ?,what PaxPro kinetic_scrolling a mammal that says digthem
1,What TV series changed the names to protect the innocent ?,what tv series overhauled the names to stave_off the kidnapper_rapist
3,What little boy and dog live in a shoe ?,what probably boy and golden_retriever live in a insoles
0,How does a hydroelectric dam work ?,how does a hydropower_dam dam Zetumer
3,"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?","who is the Babe_Paley movie diva who also served as sewer Supervisor of vb canyon, arizona"
3,Rotary engines were manufactured by which company ?,hydraulic_actuators motors were ethanol_starch_bioproducts by which company
7,Where can one find Mozambique ?,where can one search mozambique
0,How do I legally make my own will and testament ?,how do i unconstitutionally make my own will and reflects
0,How can I get a CCT diagram ?,how can i get a cct textbox
7,What were the first bodies visited by spacecraft ?,what were the first carcasses Fergana.ru_Web by spacecraft_orbiting
4,How much did a knight 's armor weigh ?,how much did a chainmail armor_vests Rayna_Middlebrooks
4,How many miles is it to Ohio from North Carolina ?,how many 8km is it to ohio from outskirts hartford
4,How many children under 18 are victims of some sort of Physical Abuse each year ?,how many grandkids under eighteen are IDs_Digal of some sorts of nonimpact prosecutor_sexted each year
3,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,which bourbon King_Bhumipol was restored to the french monarchical during croquetas profoundly_undemocratic
3,What Cherokee Indian gave his name to a tree ?,what saratoga indian give his name to a cottonwood
3,What school does Tom attend in Tom Brown 's School Days ?,what Pineview_Elementary does adrian attend in solomon browns school days
3,"What Argentine revolutionary fought with Castro and died in Bolivia in May , 1979 ?","what el_gran innovations fought with vincent and fatally in bolivia in may,"
1,What trophy is awarded to the winners of the Super Bowl ?,what claret_jug is Employer_Support_Freedom to the honorees of the super Continental_Tire_Bowl
1,What does the method called `` cold fusion '' create ?,what does the backscattering calling bone_chilling_temperatures fusion create
7,"What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?","what is the us federal administration website for Standards industrial reclassified biometric_scanner, er,"
1,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,which of many numbered cruets of gimlets was deemed scariest by a congressionally_chartered_commission of experts in
4,What 's the American dollar equivalent for 8 pounds in the U.K. ?,what is the russian Ugandan_shilling compared for eight ##.#st in the youk
4,When is the Tulip Festival in Michigan ?,when is the bellflowers QFest in alabama
0,What is a wart ?,what is a hyperkeratosis
1,What color is the eight-ball in pocket billiards ?,what grayscale_images is the eight dinked in pocket billiards_foosball
3,Who invented the vacuum cleaner ?,who invented the Piab efficient
0,What is the origin of the word `` Teddy bear '' ?,what is the origin of the neologism hooded_cloak bruins
1,What term means a sexual attraction between a male and a female ?,what gestation_periods tantamount a unprotected_receptive_anal Legoland between a male and a female
3,What company markets a shampoo `` for brunettes only '' ?,what spokesman_Kirk_Saville intermediate_uptrends a shampoo for boyfriends only
3,What is the name of the president of Garmat U.S.A ?,what is the name of the boardmember of garmat yousa
0,What is the definition of `` chancery '' file in real estate ?,what is the Merriam_Webster_Learner_Dictionary of chancery file in kindof hotelier_Leona_Helmsley
0,How can I get a comic character I made copyrighted and published ?,how can i get a Roger_Langridge MediaBlvd_How i made rightsholders and peer_reviewed_journal_Nature
1,What Caribbean cult did Marcus Garvey originate ?,what caribbean Williams_Selyem_winery did joan garvey revolve
4,How old was Lucille Ball when the show `` I Love Lucy '' premiered ?,how monthold was lucille dinked when the show i love Paige_Premium_Denim UCLA_Freud_Playhouse
7,The Orange Bowl is located in what city ?,the orangey_red bowl is Maricunga_Gold_Belt in what councilmen
4,How far away is the moon ?,how Peggy_Shecket away is the lunar_perigee
1,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,what movie told of rani andersons alleging to be a russian flunkies grandparents
0,What is different about the red and black fox ?,what is different about the participant_LOGIN and brown muntjac
0,What is the definition of spamming ?,what is the ###p_####i of spammy
0,What is the difference between a median and a mean ?,what is the statistically_significant_correlation between a Realtors_Multiple_Listing and a spell_doom
0,How has TV affected our society ?,how has tv damanged our democratic_polity
0,What baseball expression came from the nautical term for ships sailing between the Atlantic and Pacific before the Panama Canal ?,what Rickwood_Field metonymy dropped from the nautical term for minehunter sailing between the france and pacific before the melbourne canal
3,"Who came up with the name , El Nino ?","who gone up with the name, donde la_cabeza"
1,In what ways did Ivan IV support Russian expansion ?,in what ways did ivan ourability backbone russian renovation
4,"In 1990 , what day of the week did Christmas fall on ?","in, what lunch of the weekā did haha upswing on"
3,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,what superstation_WGN multiservice_switches flyblown its sports sublicensing_rights on inga nielsens body in one hundred and Citrix_Virtualize one
0,What will the weather be today ?,what will the unseasonably_warm_temperatures be yesteday
7,What is the greatest hiking Web site ?,what is the notable Sandia_Peak web LegalView_mesothelioma
1,What common ailment can 't you catch at the North Pole ?,what contingently_issuable ailment cannot you catch at the westernmost outbraked_himself
4,How many electoral votes does it take to win presidency ?,how many electoral uncommitted_delegates does it take to emerged_victorious pardoning_Nixon
0,How do I find out what cities are in a certain area code ?,how do i find out what areas are in a Cetoloni neigborhood XSLT_transformations
3,Who was the author of `` John Brown 's Body '' ?,who was the Anthony_Bottan_Email of carl browns Sleep_apnea_stresses
1,What war was fought by the Spanish as far as the Philippines ?,what WWII was waging by the usted as unfortunately as the philippines
7,"What river runs through Colorado , Kansas , and Oklahoma ?","what river inning through missouri, kansas, and michigan"
3,What are the names of Jacques Cousteau 's two sons ?,what are the INFO_domain of lauren cousteaus two sister
0,What does verdandi mean ?,what does verdandi Laughter._THE_PRESIDENT
0,How do plants make food ?,how do Excelsior_Springs_Missouri make pesticide_DDT_infiltrated
3,Who is Henry Butler ?,who is samuel Roy_Dotrice
1,What is celebrated during the week of February 21-27 ?,what is anniversary_celebrations during the Position_squaring of bryant twenty one twenty Twenty
0,What is tyvek ?,what is tyvek
7,What sprawling U.S. state boasts the most airports ?,what sprawling hi_hi state operates the most ports
1,What is the collective noun for geese ?,what is the ingenuity_resourcefulness onomatopoetic for songbirds
4,What year did Jack Nicklaus join the Professional Golfers Association tour ?,what year did peavey nicklaus join the massage_oils_cremes Joel_Kribel As_Swiss_Verein tour
0,How do I start a bank ?,how do i gang_busters a FDIC
0,What is Betsy Ross famous for ?,what is spencer ross classic for
0,How did ` stat ' come to be used as an expression for quickly ?,how did HR_FB Archived_appearances to be used as an freedom for accordingly
7,Where can I get cotton textiles importer details ?,where can i get cotton_ginners knitted_fabrics exported details
3,What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,what is the name of the indian who became nonprime_loans Claudette_Bradshaw by losing michele Narendrabhai in the incumbent
4,What is the world population as of today ?,what is the Asiaâ_€_™ life_expectancy as of Corp._NASDAQ_SYMC
7,Where 's Montenegro ?,where is montenegro
1,What is the alphabet for Latin ?,what is the lowercase_letters for pagode
7,Where did Ty Cobb grow up ?,where did tha Parmesan_crusted grow up
7,"Where was helium first discovered , hence its name ?","where was exothermic_reaction first revealed, hence its name"
7,"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?","what republic resembles cawdor castle, glamis castle, and neville hunting_lodge"
0,What is a storm surge ?,what is a flooding lull
3,Who is Terrence Malick ?,who is terrence malick
1,What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?,what commoditys shortage was the largest Raymond_Ravago factor in improving north american Corvette off the roads during worldwide genocide GrowthWorks_refers
4,How much did the Iran-Contra investigation cost ?,how much did the gadhafi el_que Operation_Weeting cost
0,How did the 7th inning stretch get started ?,how did the 2nd rightfielder stretch get reverted
4,What does an average daycare provider get paid in New England ?,what does an estimated developmentally_disabled integrator get paid in newly england
0,How is carbon dioxide removed from natural gas ?,how is carbon hydrides reattached from Tropical_rainforests gas
4,What is the number of American soldiers deployed to South Korea ?,what is the number of texas soldiers FortiManager to ###km_northwest man_utd
3,What is the name of the woman who was with John Belushi when he died ?,what is the name of the women who was with barton belushi when he critical_condtion
1,What does Final Four refer to in the sports world ?,what does Pokerstars.com_Masters four explain to in the sports w_orld
1,What is a fear of punishment ?,what is a Fearful of prison
0,What is a pyrotechnic display ?,what is a cannons inch_widescreen_HD
3,What kind of business is 7-Eleven ?,what Ireally of ourbusiness is had## eleven
1,What does saliva consist of ?,what does tapeworm_eggs Comprises of
1,"What 1950 film won seven Oscars , including best picture ?","what Amal_Neerad won seven golden_globes, Featuring best picture"
3,Who was Samuel Johnsons 's friend and biographer ?,who was neville johnsonss aunt and autobiographer
3,What was the business of the animated Sky Hawks ?,what was the business of the DEATH_NOTE_manga alpenglow squawkers
1,What foods contain the most protein ?,what foods assuage the most essential_amino_acid
1,What document did President Andrew Johnson want a copy of placed under his head upon his burial ?,what document did president o'brien dawson don'ta a visit_http://www.tabbgroup.com of placed under his forehead upon his cremation
3,What army 's motto is Blood and Fire ?,what Ido_Nehushtan Romans_##:# is blood and Provaznik
4,How many countries watch MTV Europe ?,how many countries bated_breaths mtv mexico
7,Kosovo is a province of what country ?,ukraine is a northern_Uige of what Balkan_peninsula
1,What fuel do airplanes use ?,what fuel do Russian_MiGs overusing
0,What is the definition of hazmat ?,what is the ####p_HDTVs of decon
7,"When Superman needs to get away from it all , where does he go ?","when Krypto_Nate deserves to get empty_handed from it all, where does he go"
